filename,token,bio_tag
15939911.txt,case,O
15939911.txt,28yearold,O
15939911.txt,previously,O
15939911.txt,healthy,B-SYMPTOMS
15939911.txt,man,B-SEX
15939911.txt,present,O
15939911.txt,6week,O
15939911.txt,history,O
15939911.txt,palpitation,O
15939911.txt,symptom,O
15939911.txt,occur,O
15939911.txt,rest,O
15939911.txt,23,O
15939911.txt,time,O
15939911.txt,week,O
15939911.txt,last,O
15939911.txt,30,O
15939911.txt,minute,O
15939911.txt,time,O
15939911.txt,associate,O
15939911.txt,dyspnea,B-SYMPTOMS
15939911.txt,grade,O
15939911.txt,26,O
15939911.txt,holosystolic,O
15939911.txt,tricuspid,O
15939911.txt,regurgitation,B-SYMPTOMS
15939911.txt,murmur,I-SYMPTOMS
15939911.txt,well,O
15939911.txt,hear,O
15939911.txt,left,O
15939911.txt,sternal,O
15939911.txt,border,O
15939911.txt,inspiratory,O
15939911.txt,accentuation,O
15939911.txt,physical,O
15939911.txt,examination,O
15939911.txt,yield,O
15939911.txt,unremarkable,O
15939911.txt,finding,O
15939911.txt,electrocardiogram,O
15939911.txt,ecg,O
15939911.txt,reveal,O
15939911.txt,normal,O
15939911.txt,sinus,O
15939911.txt,rhythm,O
15939911.txt,wolff,O
15939911.txt,parkinson,O
15939911.txt,white,O
15939911.txt,preexcitation,O
15939911.txt,pattern,O
15939911.txt,fig1,O
15939911.txt,produce,O
15939911.txt,rightside,O
15939911.txt,accessory,B-DISEASE
15939911.txt,pathway,I-DISEASE
15939911.txt,transthoracic,O
15939911.txt,echocardiography,O
15939911.txt,demonstrate,O
15939911.txt,presence,O
15939911.txt,ebstein,O
15939911.txt,anomaly,O
15939911.txt,tricuspid,O
15939911.txt,valve,O
15939911.txt,apical,B-SYMPTOMS
15939911.txt,displacement,I-SYMPTOMS
15939911.txt,valve,O
15939911.txt,formation,O
15939911.txt,atrialized,B-DISEASE
15939911.txt,right,O
15939911.txt,ventricle,O
15939911.txt,functional,O
15939911.txt,unit,O
15939911.txt,right,O
15939911.txt,atrium,O
15939911.txt,inlet,O
15939911.txt,inflow,O
15939911.txt,portion,O
15939911.txt,right,O
15939911.txt,ventricle,O
15939911.txt,fig2,O
15939911.txt,anterior,O
15939911.txt,tricuspid,O
15939911.txt,valve,O
15939911.txt,leaflet,O
15939911.txt,elongate,O
15939911.txt,fig2c,O
15939911.txt,arrow,O
15939911.txt,septal,O
15939911.txt,leaflet,O
15939911.txt,rudimentary,B-SYMPTOMS
15939911.txt,fig2c,O
15939911.txt,arrowhead,O
15939911.txt,contrast,O
15939911.txt,echocardiography,O
15939911.txt,saline,O
15939911.txt,reveal,O
15939911.txt,patent,O
15939911.txt,foraman,O
15939911.txt,ovale,O
15939911.txt,righttoleft,O
15939911.txt,shunting,O
15939911.txt,bubble,O
15939911.txt,left,O
15939911.txt,atrium,O
15939911.txt,fig2d,O
15939911.txt,patient,O
15939911.txt,undergo,O
15939911.txt,electrophysiologic,O
15939911.txt,study,O
15939911.txt,mapping,O
15939911.txt,accessory,O
15939911.txt,pathway,O
15939911.txt,follow,O
15939911.txt,radiofrequency,O
15939911.txt,ablation,O
15939911.txt,interruption,O
15939911.txt,pathway,O
15939911.txt,heat,O
15939911.txt,generate,O
15939911.txt,electromagnetic,O
15939911.txt,wave,O
15939911.txt,tip,O
15939911.txt,ablation,O
15939911.txt,catheter,O
15939911.txt,postablation,O
15939911.txt,ecg,O
15939911.txt,show,O
15939911.txt,prolong,O
15939911.txt,pr,O
15939911.txt,interval,O
15939911.txt,odd,O
15939911.txt,second,O
15939911.txt,qrs,O
15939911.txt,complex,O
15939911.txt,lead,O
15939911.txt,iii,O
15939911.txt,avf,O
15939911.txt,v2v4,O
15939911.txt,fig1bottom,O
15939911.txt,consequence,O
15939911.txt,abnormal,B-DISEASE
15939911.txt,impulse,I-DISEASE
15939911.txt,conduction,I-DISEASE
15939911.txt,atrialized,O
15939911.txt,right,O
15939911.txt,ventricle,O
15939911.txt,patient,O
15939911.txt,report,O
15939911.txt,recurrence,O
15939911.txt,palpitation,O
15939911.txt,followup,O
15939911.txt,6,O
15939911.txt,month,O
15939911.txt,ablation,O
16778410.txt,patient,O
16778410.txt,34yrold,O
16778410.txt,man,B-SEX
16778410.txt,present,O
16778410.txt,complaint,O
16778410.txt,fever,B-SYMPTOMS
16778410.txt,chronic,O
16778410.txt,cough,B-SYMPTOMS
16778410.txt,smoker,O
16778410.txt,history,O
16778410.txt,pulmonary,O
16778410.txt,tuberculosis,B-DISEASE
16778410.txt,treat,O
16778410.txt,cure,O
16778410.txt,compute,O
16778410.txt,tomographic,O
16778410.txt,ct,O
16778410.txt,scan,O
16778410.txt,reveal,O
16778410.txt,multiple,O
16778410.txt,tiny,O
16778410.txt,nodule,O
16778410.txt,lung,O
16778410.txt,thoracoscopic,O
16778410.txt,lung,O
16778410.txt,biopsy,O
16778410.txt,take,O
16778410.txt,right,O
16778410.txt,upper,O
16778410.txt,lobe,O
16778410.txt,microscopic,O
16778410.txt,examination,O
16778410.txt,reveal,O
16778410.txt,typical,B-SYMPTOMS
16778410.txt,lch,I-SYMPTOMS
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,vesicular,O
16778410.txt,groove,O
16778410.txt,nucleus,O
16778410.txt,form,O
16778410.txt,small,O
16778410.txt,aggregation,O
16778410.txt,bronchiole,O
16778410.txt,fig1,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,strongly,O
16778410.txt,positive,O
16778410.txt,s100,O
16778410.txt,protein,O
16778410.txt,vimentin,O
16778410.txt,cd68,O
16778410.txt,cd1a,O
16778410.txt,infiltration,O
16778410.txt,lymphocyte,O
16778410.txt,eosinophil,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,perform,O
16778410.txt,additional,O
16778410.txt,radiologic,O
16778410.txt,examination,O
16778410.txt,organ,O
16778410.txt,think,O
16778410.txt,involve,O
16778410.txt,quit,O
16778410.txt,smoking,O
16778410.txt,receive,O
16778410.txt,specific,O
16778410.txt,treatment,O
16778410.txt,follow,O
16778410.txt,year,O
16778410.txt,followup,O
16778410.txt,ct,O
16778410.txt,scan,O
16778410.txt,perform,O
16778410.txt,show,O
16778410.txt,4,O
16778410.txt,cmsize,O
16778410.txt,mass,B-SYMPTOMS
16778410.txt,left,O
16778410.txt,low,O
16778410.txt,lobe,O
16778410.txt,addition,O
16778410.txt,multiple,O
16778410.txt,tiny,O
16778410.txt,nodule,O
16778410.txt,lung,O
16778410.txt,fig2,O
16778410.txt,needle,O
16778410.txt,biopsy,O
16778410.txt,speciman,O
16778410.txt,reveal,O
16778410.txt,possibility,O
16778410.txt,sarcoma,O
16778410.txt,lobectomy,O
16778410.txt,perform,O
16778410.txt,grossly,O
16778410.txt,4,O
16778410.txt,cmsize,O
16778410.txt,poorlycircumscribed,O
16778410.txt,lobulate,O
16778410.txt,graywhite,O
16778410.txt,mass,O
16778410.txt,find,O
16778410.txt,fig3,O
16778410.txt,small,O
16778410.txt,satellite,O
16778410.txt,nodule,O
16778410.txt,main,O
16778410.txt,mass,O
16778410.txt,microscopically,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,aggregate,O
16778410.txt,large,O
16778410.txt,sheet,O
16778410.txt,show,O
16778410.txt,infiltrative,O
16778410.txt,growth,O
16778410.txt,cytologic,O
16778410.txt,feature,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,similar,O
16778410.txt,see,O
16778410.txt,typical,O
16778410.txt,lch,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,show,O
16778410.txt,overtly,O
16778410.txt,malignant,O
16778410.txt,cytologic,O
16778410.txt,feature,O
16778410.txt,pleomorphichyperchromatic,O
16778410.txt,nucleus,O
16778410.txt,prominent,O
16778410.txt,nucleolus,O
16778410.txt,fig4,O
16778410.txt,multinucleate,O
16778410.txt,tumor,O
16778410.txt,giant,O
16778410.txt,cell,O
16778410.txt,find,O
16778410.txt,numerous,O
16778410.txt,mitotic,O
16778410.txt,figure,O
16778410.txt,range,O
16778410.txt,30,O
16778410.txt,60,O
16778410.txt,10,O
16778410.txt,high,O
16778410.txt,power,O
16778410.txt,field,O
16778410.txt,abnormal,O
16778410.txt,foci,O
16778410.txt,typical,O
16778410.txt,lch,O
16778410.txt,remain,O
16778410.txt,main,O
16778410.txt,tumor,O
16778410.txt,mass,O
16778410.txt,immunohistochemically,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,strongly,O
16778410.txt,positive,O
16778410.txt,s100,O
16778410.txt,protein,O
16778410.txt,fig5,O
16778410.txt,vimentin,O
16778410.txt,positive,O
16778410.txt,cd68,O
16778410.txt,dako,O
16778410.txt,n1577,O
16778410.txt,clone,O
16778410.txt,kpi,O
16778410.txt,focally,O
16778410.txt,positive,O
16778410.txt,cd1a,O
16778410.txt,fig6,O
16778410.txt,negative,O
16778410.txt,cytokeratin,O
16778410.txt,epithelial,O
16778410.txt,membrane,O
16778410.txt,antigen,O
16778410.txt,cd3,O
16778410.txt,cd20,O
16778410.txt,hmb45,O
16778410.txt,ultrastructural,O
16778410.txt,analysis,O
16778410.txt,fail,O
16778410.txt,demonstrate,O
16778410.txt,birbeck,O
16778410.txt,granule,O
16778410.txt,cytoplasm,O
16778410.txt,tumor,O
16778410.txt,cell,O
16778410.txt,month,O
16778410.txt,lobectomy,O
16778410.txt,patient,O
16778410.txt,significant,O
16778410.txt,change,O
16778410.txt,radiologic,O
16778410.txt,finding,O
17803823.txt,23,B-AGE
17803823.txt,year,I-AGE
17803823.txt,old,I-AGE
17803823.txt,white,O
17803823.txt,male,B-SEX
17803823.txt,4,O
17803823.txt,year,O
17803823.txt,history,O
17803823.txt,crohns,O
17803823.txt,disease,O
17803823.txt,present,O
17803823.txt,acute,O
17803823.txt,day,O
17803823.txt,history,O
17803823.txt,malaise,B-SYMPTOMS
17803823.txt,fever,B-SYMPTOMS
17803823.txt,abdominal,O
17803823.txt,pain,B-SYMPTOMS
17803823.txt,vomiting,B-SYMPTOMS
17803823.txt,stomal,O
17803823.txt,diarrhoea,B-SYMPTOMS
17803823.txt,complain,O
17803823.txt,joint,O
17803823.txt,pain,O
17803823.txt,affect,O
17803823.txt,shoulder,O
17803823.txt,elbow,O
17803823.txt,wrist,O
17803823.txt,metacarpophalangeal,O
17803823.txt,knee,O
17803823.txt,ankle,O
